ticker,name,exchange,sector,industry,scalemarketcap,scalerevenue,location
A,Agilent Technologies Inc,NYSE,Healthcare,Diagnostics & Research,5 - Large,5 - Large,California; U.S.A
AAL,American Airlines Group Inc,NASDAQ,Industrials,Airlines,5 - Large,5 - Large,Texas; U.S.A
AAP,Advance Auto Parts Inc,NYSE,Consumer Cyclical,Specialty Retail,5 - Large,4 - Mid,North Carolina; U.S.A
AAPL,Apple Inc,NASDAQ,Technology,Consumer Electronics,6 - Mega,6 - Mega,California; U.S.A
ABBV,AbbVie Inc,NYSE,Healthcare,Drug Manufacturers - General,5 - Large,5 - Large,Illinois; U.S.A
ABC,Amerisourcebergen Corp,NYSE,Healthcare,Medical Distribution,5 - Large,5 - Large,Pennsylvania; U.S.A
ABMD,Abiomed Inc,NASDAQ,Healthcare,Medical Devices,5 - Large,3 - Small,Massachusetts; U.S.A
ABT,Abbott Laboratories,NYSE,Healthcare,Medical Devices,5 - Large,5 - Large,Illinois; U.S.A
ACN,Accenture plc,NYSE,Technology,Information Technology Services,5 - Large,5 - Large,Ireland
ADBE,Adobe Inc,NASDAQ,Technology,Software - Infrastructure,6 - Mega,5 - Large,California; U.S.A
ADI,Analog Devices Inc,NASDAQ,Technology,Semiconductors,5 - Large,4 - Mid,Massachusetts; U.S.A
ADM,Archer-Daniels-Midland Co,NYSE,Consumer Defensive,Farm Products,5 - Large,5 - Large,Illinois; U.S.A
ADP,Automatic Data Processing Inc,NASDAQ,Industrials,Staffing & Employment Services,5 - Large,5 - Large,New Jersey; U.S.A
ADSK,Autodesk Inc,NASDAQ,Technology,Software - Application,5 - Large,4 - Mid,California; U.S.A
AEE,Ameren Corp,NYSE,Utilities,Utilities - Regulated Electric,5 - Large,4 - Mid,Missouri; U.S.A
AEP,American Electric Power Co Inc,NYSE,Utilities,Utilities - Regulated Electric,5 - Large,5 - Large,Ohio; U.S.A
AES,Aes Corp,NYSE,Utilities,Utilities - Diversified,5 - Large,5 - Large,Virginia; U.S.A
AFL,Aflac Inc,NYSE,Financial Services,Insurance - Life,5 - Large,5 - Large,Georgia; U.S.A
AIG,American International Group Inc,NYSE,Financial Services,Insurance - Diversified,6 - Mega,5 - Large,New York; U.S.A
AIV,Apartment Investment & Management Co,NYSE,Real Estate,REIT - Residential,4 - Mid,3 - Small,Colorado; U.S.A
AIZ,Assurant Inc,NYSE,Financial Services,Insurance - Specialty,4 - Mid,5 - Large,New York; U.S.A
AJG,Arthur J Gallagher & Co,NYSE,Financial Services,Insurance Brokers,5 - Large,4 - Mid,Illinois; U.S.A
AKAM,Akamai Technologies Inc,NASDAQ,Technology,Software - Infrastructure,5 - Large,4 - Mid,Massachusetts; U.S.A
ALB,Albemarle Corp,NYSE,Basic Materials,Specialty Chemicals,5 - Large,4 - Mid,North Carolina; U.S.A
ALGN,Align Technology Inc,NASDAQ,Healthcare,Medical Devices,5 - Large,4 - Mid,California; U.S.A
ALK,Alaska Air Group Inc,NYSE,Industrials,Airlines,5 - Large,4 - Mid,Washington; U.S.A
ALL,Allstate Corp,NYSE,Financial Services,Insurance - Property & Casualty,5 - Large,5 - Large,Illinois; U.S.A
ALLE,Allegion plc,NYSE,Industrials,Security & Protection Services,5 - Large,4 - Mid,Ireland
ALXN,Alexion Pharmaceuticals Inc,NASDAQ,Healthcare,Biotechnology,5 - Large,4 - Mid,Massachusetts; U.S.A
AMAT,Applied Materials Inc,NASDAQ,Technology,Semiconductor Equipment & Materials,5 - Large,5 - Large,California; U.S.A
AMCR,Amcor plc,NYSE,Consumer Cyclical,Packaging & Containers,5 - Large,5 - Large,United Kingdom
