cusip_9,isin,issue_cusip,complete_cusip,issue_id,maturity,offering_date,issue_name,coupon_type,coupon_type_label,offering_yield,security_level,seniority,bond_type,offering_amt,principal_amt,issuer_id,cusip_name,industry_group,industry_code,naics_code,naics_2digit,sector,rating,rating_type,rating_date,convertible,redeemable,putable,rule_144a,amount_outstanding,amount_outstanding_date,rating_broad
90933HAA3,US90933HAA32,AA3,90933HAA3,717571,2026-01-07,2017-10-23,PASSTHRU CTF CL B,F,Fixed,3.65,NON,Not Specified,CPAS,258348.0,1000.0,47973.0,UNITED AIRLS 2016-1 CL B PASSTHRU TR,1.0,16,481111.0,48,Transportation,Ba2,MR,2023-10-18,N,Y,N,N,258348.0,2017-10-23,BB
345397XU2,US345397XU23,XU2,345397XU2,645865,2026-01-08,2016-01-05,GLOBAL NT,F,Fixed,4.389,SEN,Senior Unsecured,CDEB,1200000.0,1000.0,1664.0,FORD MTR CR CO,2.0,21,52222.0,52,Finance & Insurance,BB+,FR,2022-05-02,N,N,N,N,1200000.0,2016-01-05,BB
588056AW1,US588056AW17,AW1,588056AW1,775751,2026-01-15,2018-08-10,SR NT,F,Fixed,,SEN,Senior Unsecured,CDEB,300000.0,1000.0,38242.0,MERCER INTL INC,1.0,10,322120.0,32,Manufacturing,B2,MR,2023-09-08,N,Y,N,N,0.0,2024-11-01,B
36740LAA0,US36740LAA08,AA0,36740LAA0,864987,2026-01-15,2019-11-20,GTD SR NT RULE 144A,F,Fixed,6.25,SEN,Senior Unsecured,CDEB,568000.0,1000.0,49987.0,GATES GLOBAL LLC / GATES CORP,1.0,10,326199.0,32,Manufacturing,B+,SPR,2024-02-20,N,Y,N,Y,568000.0,2019-11-20,B
40204BAA3,US40204BAA35,AA3,40204BAA3,1025610,2026-01-15,2020-12-08,SR SECD NT RULE 144A,F,Fixed,8.5,SS,Senior Subordinated,CDEB,350000.0,1000.0,51548.0,GUITAR CTR ESCROW II INC,5.0,11,459140.0,45,Retail Trade,Caa2,MR,2024-02-02,N,Y,N,Y,550000.0,2022-03-17,CCC
29413XAD9,US29413XAD93,AD9,29413XAD9,865341,2026-01-15,2019-11-22,GTD SR NT RULE 144A,F,Fixed,6.5,SEN,Senior Unsecured,CDEB,550000.0,1000.0,47653.0,ENVIVA PARTNERS LP / ENVIVA PARTNERS FIN CORP,1.0,10,,na,Other,C,MR,2024-03-15,N,Y,N,Y,750000.0,2020-07-15,C
588056AV3,US588056AV34,AV3,588056AV3,727511,2026-01-15,2017-12-06,SR NT RULE 144A,F,Fixed,5.5,SEN,Senior Unsecured,CDEB,300000.0,1000.0,38242.0,MERCER INTL INC,1.0,10,322120.0,32,Manufacturing,B+,SPR,2020-04-02,N,Y,N,Y,0.0,2018-09-11,B
966387BG6,US966387BG63,BG6,966387BG6,768305,2026-01-15,2018-06-06,GTD SR NT,F,Fixed,,SEN,Senior Unsecured,CDEB,999607.0,1000.0,37834.0,WHITING PETE CORP,1.0,12,211120.0,21,Energy (Oil & Gas),C,MR,2020-04-01,N,Y,N,N,0.0,2020-09-01,C
629571AA8,US629571AA86,AA8,629571AA8,874077,2026-01-15,2020-01-07,GLOBAL GTD SR NT RULE 144A,F,Fixed,7.25,SEN,Senior Unsecured,CDEB,600000.0,1000.0,50051.0,NABORS INDS LTD,1.0,17,213111.0,21,Energy (Oil & Gas),CCC,FR,2023-11-15,N,Y,N,Y,559978.0,2020-12-01,CCC
15138AAA8,US15138AAA88,AA8,15138AAA8,723173,2026-01-15,2017-11-15,GTD SR NT RULE 144A,F,Fixed,5.375,SEN,Senior Unsecured,CDEB,400000.0,1000.0,48127.0,CENTENNIAL RESOURCE PRODTN LLC,1.0,12,213111.0,21,Energy (Oil & Gas),BB,SPR,2024-07-25,N,Y,N,Y,289448.0,2020-05-22,BB
69889MAB8,US69889MAB81,AB8,69889MAB8,906423,2026-01-15,2020-05-27,GTD SR SECD NT RULE 144A,F,Fixed,13.53992,SS,Senior Subordinated,CDEB,105000.0,1000.0,48217.0,PAR PETE LLC / PAR PETE FIN CORP,1.0,12,211120.0,21,Energy (Oil & Gas),BB-,SPR,2022-09-23,N,Y,N,Y,0.0,2023-03-17,BB
87422VAE8,US87422VAE83,AE8,87422VAE8,722797,2026-01-15,2017-11-14,SR NT RULE 144A,F,Fixed,11.26741,SEN,Senior Unsecured,CDEB,400000.0,1000.0,46349.0,TALEN ENERGY SUPPLY LLC,1.0,15,221122.0,22,Utilities,B,FR,2022-07-21,N,Y,N,Y,609689.0,2019-01-18,B
448407AF3,US448407AF37,AF3,448407AF3,321602,2026-01-15,2006-01-19,SUB NT CONV,F,Fixed,3.25,JUNS,Junior Subordinated,CCOV,225000.0,1000.0,30363.0,HUTCHINSON TECHNOLOGY INC,1.0,10,334419.0,33,Manufacturing,B-,SPR,2006-02-23,Y,Y,Y,N,0.0,2013-02-02,B
402635AM8,US402635AM88,AM8,402635AM8,715479,2026-01-15,2017-10-05,GTD SR NT RULE 144A,F,Fixed,6.375,SEN,Senior Unsecured,CDEB,450000.0,1000.0,43655.0,GULFPORT ENERGY CORP,1.0,12,213111.0,21,Energy (Oil & Gas),D,SPR,2020-10-16,N,Y,Y,Y,0.0,2021-05-17,D
14879EAD0,US14879EAD04,AD0,14879EAD0,716581,2026-01-15,2017-10-13,SR NT RULE 144A,F,Fixed,4.875,SEN,Senior Unsecured,CDEB,450000.0,1000.0,43491.0,CATALENT PHARMA SOLUTIONS INC,1.0,10,325412.0,32,Manufacturing,B1,MR,2020-11-18,N,Y,N,Y,450000.0,2017-10-13,B
87485LAC8,US87485LAC81,AC8,87485LAC8,980578,2026-01-15,2021-05-18,GTD SR SECD NT,F,Fixed,,SS,Senior Subordinated,CDEB,643392.0,1000.0,50860.0,TALOS PRODTN INC,5.0,12,237120.0,23,Construction,BB-,SPR,2023-02-13,N,Y,N,N,643392.0,2021-06-16,BB
402635AP1,US402635AP10,AP1,402635AP1,746731,2026-01-15,2018-02-12,GTD SR NT,F,Fixed,,SEN,Senior Unsecured,CDEB,449990.0,1000.0,43655.0,GULFPORT ENERGY CORP,1.0,12,213111.0,21,Energy (Oil & Gas),Ca,MR,2020-11-17,N,Y,N,N,0.0,2021-05-17,CC
887317AZ8,US887317AZ80,AZ8,887317AZ8,642343,2026-01-15,2015-11-17,GLOBAL GTD SR NT,F,Fixed,3.881,SEN,Senior Unsecured,CDEB,600000.0,1000.0,4108.0,TIME WARNER INC,1.0,15,51211.0,51,Information/Media,BB+,SPR,2025-05-20,N,Y,N,N,20207.0,2025-07-09,BB
465740AA6,US465740AA65,AA6,465740AA6,728051,2026-01-15,2017-12-08,GTD SR NT RULE 144A,F,Fixed,5.0,SEN,Senior Unsecured,CDEB,300000.0,1000.0,11814.0,ITRON INC,3.0,30,334220.0,33,Manufacturing,B3,MR,2020-12-04,N,Y,N,Y,0.0,2021-04-08,B
87264AAP0,US87264AAP03,AP0,87264AAP0,642059,2026-01-15,2015-11-02,SR NT,F,Fixed,6.5,SEN,Senior Unsecured,CDEB,2000000.0,1000.0,44537.0,T MOBILE USA INC,1.0,11,517112.0,51,Information/Media,Ba2,MR,2021-08-06,N,Y,N,N,2000000.0,2015-11-02,BB
87485LAA2,US87485LAA26,AA2,87485LAA2,957357,2026-01-15,2020-12-17,GTD SR SECD NT RULE 144A,F,Fixed,12.0,SS,Senior Subordinated,CDEB,500000.0,1000.0,50860.0,TALOS PRODTN INC,5.0,12,237120.0,23,Construction,BB-,SPR,2023-02-13,,Y,,Y,6608.0,2021-06-17,BB
75508EAB4,US75508EAB48,AB4,75508EAB4,955519,2026-01-15,2020-12-10,GTD SR SECD NT RULE 144A,F,Fixed,7.625,SS,Senior Subordinated,CDEB,500000.0,1000.0,48485.0,RAYONIER A M PRODS INC,1.0,10,325211.0,32,Manufacturing,Caa1,MR,2024-06-13,N,Y,N,Y,317154.0,2024-11-04,CCC
65442QAA9,US65442QAA94,AA9,65442QAA9,954617,2026-01-15,2020-12-16,SR SECD NT RULE 144A,F,Fixed,7.5,SS,Senior Subordinated,CDEB,350000.0,1000.0,50855.0,99 ESCROW ISSUER INC,5.0,60,455219.0,45,Retail Trade,D,SPR,2024-04-10,N,Y,N,Y,350000.0,2020-12-22,D
887315BB4,US887315BB48,BB4,887315BB4,33823,2026-01-15,1996-01-11,DEB,F,Fixed,6.85,SEN,Senior Unsecured,CDEB,400000.0,1000.0,4108.0,TIME WARNER INC,1.0,15,51211.0,51,Information/Media,BB+,SPR,2025-05-20,N,N,Y,N,1581.0,2025-07-09,BB
08576PAB7,US08576PAB76,AB7,08576PAB7,954611,2026-01-15,2020-12-15,GTD SR SECD NT RULE 144A,F,Fixed,1.577,SS,Senior Subordinated,CDEB,750000.0,1000.0,48293.0,BERRY GLOBAL INC,1.0,10,326121.0,32,Manufacturing,Ba2,MR,2020-12-23,N,Y,N,Y,0.0,2021-10-20,BB
61965RAA3,US61965RAA32,AA3,61965RAA3,734147,2026-01-15,2018-01-12,SR NT RULE 144A,F,Fixed,7.5,SEN,Senior Unsecured,CDEB,700000.0,1000.0,48281.0,MOSS CREEK RES HLDGS INC,3.0,12,213112.0,21,Energy (Oil & Gas),B+,SPR,2023-04-21,N,Y,N,Y,0.0,2024-08-27,B
53190FAA3,US53190FAA30,AA3,53190FAA3,960244,2026-01-15,2021-01-14,SR SECD NT RULE 144A,F,Fixed,5.75,SS,Senior Subordinated,CDEB,925000.0,1000.0,50872.0,LIFE TIME INC,5.0,24,531210.0,53,Real Estate,BB,SPR,2024-03-07,N,Y,N,Y,925000.0,2021-01-22,BB
00130HCD5,US00130HCD52,CD5,00130HCD5,950013,2026-01-15,2020-11-19,SR NT RULE 144A,F,Fixed,1.386,SEN,Senior Unsecured,CDEB,800000.0,1000.0,11.0,AES CORP,3.0,30,221122.0,22,Utilities,Ba1,MR,2021-08-04,,Y,,Y,2058.0,2021-08-19,BB
018581AL2,US018581AL20,AL2,018581AL2,933937,2026-01-15,2020-09-17,GTD SR NT RULE 144A,F,Fixed,7.0,SEN,Senior Unsecured,CDEB,500000.0,1000.0,52136.0,BREAD FINL HLDGS INC,2.0,22,518210.0,51,Information/Media,Ba3,MR,2024-11-20,N,Y,N,Y,500000.0,2020-09-17,BB
